Guid,Name,CurrencyIsoCode,SBQQ__EffectiveDate__c,SBQQ__LowerBound__c,SBQQ__PriceBook2__c,SBQQ__Price__c,SBQQ__Product__c,SBQQ__UpperBound__c,PriceFormat__c,OverageRate__c,MixedBlockTierOFPrice__c,ProductCode__c
011cfdae-dd58-4dae-a1dc-e9e7fb8a8049,Work.com Tiered Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,f3a4220f-ba29-41f3-a789-38048d8ee9e6,51.0,FlatFee,#N/A,#N/A,SHWKT-BP-XX-CPQ
017dd018-1b04-4c56-95d4-2d320fe74042,Included Users - Tier 1,USD,#N/A,1.0,4861353f-43ea-4659-af7d-b14a8d769281,10.0,3f01b799-cdff-4e1c-9478-868f04a2cdc7,7.0,FlatFee,#N/A,#N/A,STFU1S-BP-MM-CPQ
0180fd34-697a-4426-929d-7745f07bc702,Business Stakeholder Tier 4,USD,#N/A,251.0,#N/A,15000.0,77a61120-afd6-4a1c-ad54-3dafee4636c5,501.0,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ
01a23c57-79da-463c-b65d-f342d19d0de4,Stakeholder PD.Org Tier 2,USD,#N/A,1.0,#N/A,1800.0,5d3f59dc-4a4b-45db-86e6-f5fb568b9b4e,51.0,FlatFee,#N/A,#N/A,S3PR-BP-XX-CPQ
02833158-2536-4d96-807b-523b2034ad2a,Professional Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,5cbffc6b-822e-41d0-a7b7-0b9c89caec16,1001.0,FlatFee,#N/A,#N/A,STPPX-BP-XX-CPQ
038ee3c5-b243-45a0-9b78-b4e7e42e87d6,Professional Stakeholder Tier 4,USD,#N/A,251.0,#N/A,15000.0,3f67ed44-a6d0-4f93-b964-4d6ee31b78c5,501.0,FlatFee,#N/A,#N/A,STPR-BP-XX-CPQ
06a93c97-576e-4a9f-953f-6f05103fe93e,Stakeholder User Fee Tier 5,USD,#N/A,501.0,#N/A,2000.0,8be8f77e-6d8d-4229-990c-44aa9f37f640,1001.0,FlatFee,#N/A,#N/A,BSTPS-BP-MM-CPQ-FY21
07a513ef-cda7-479a-acfa-85e433782c02,Business Stakeholder Tier 2,USD,#N/A,1.0,#N/A,150.0,b202ea13-946e-4388-95a2-dc9a810e1687,51.0,FlatFee,#N/A,#N/A,BSTPS-BP-MM-CPQ
07d9dc5a-3e0e-4eb8-afaf-5ac93ef740ec,Professional Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,f15edf92-92ab-4d31-9d58-8b2e27bdeb6e,1001.0,FlatFee,#N/A,#N/A,STPRC-BP-XX-CPQ
09dbcd8d-ca3c-455b-8897-a1a477db46f9,Work.com Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,0f285a71-3d9b-4c2e-bfe1-475ee7d27e9a,51.0,FlatFee,#N/A,#N/A,SHWK-BP-XX-CPQ
0a69704d-b66c-4578-a35b-a3a3d42b560b,Stakeholder User Fee Tier 1,USD,#N/A,0.0,#N/A,0.0,133fe117-c33e-4023-a8a7-7abb872479ad,1.0,FlatFee,#N/A,#N/A,BSPSU-BP-MM-CPQ-FY21
0af5a397-f3e0-4ca6-b98b-b7a881cfb50d,Tier 2 Professional Tiered,USD,#N/A,1.0,#N/A,252.0,081091f6-4ad4-4df2-9a61-48c869eba7ed,6.0,FlatFee,#N/A,252.0,PRS-BP-XX-CPQ
0b13234a-d83e-453c-b776-37a3c2183836,Professional Stakeholder Tier 4,USD,#N/A,251.0,#N/A,15000.0,844d059a-e26c-4c2f-bcc7-e01470f66ee2,501.0,FlatFee,#N/A,#N/A,SHP-BP-XX-CPQ
0b9db524-5bb1-428e-9749-e908f61c373a,Professional Stakeholder User Fee Tier 4,USD,#N/A,251.0,#N/A,1250.0,771b5f45-18b8-4a71-9368-2baf60244aa4,501.0,FlatFee,#N/A,#N/A,PRSU-BP-MM-CPQ
0d167da9-12e3-40ae-932b-477f24066355,Business Stakeholder Tier 2,USD,#N/A,1.0,#N/A,150.0,29827e59-b171-46de-96cb-a3baaf7a60dc,51.0,FlatFee,#N/A,#N/A,TTPS-BP-MM-CPQ
0d62f6ec-09ce-456f-a2b0-33a110561d62,1-10 PD.Org Users - Tier 1,USD,#N/A,1.0,#N/A,0.0,a8ac0e06-e12d-49c9-b9d1-4308f992d03a,11.0,FlatFee,#N/A,#N/A,PTPL-BP-XX-CPQ
0e6e54bb-97f7-4e8b-8410-769c8d1726cd,Stakeholder User Fee Tier 3,USD,#N/A,51.0,#N/A,700.0,5366ad91-6892-4c85-a1a6-f9bb7833a3e6,251.0,FlatFee,#N/A,#N/A,TPSU-BP-MM-CPQ
0e8eb28e-8f95-44e8-a011-4480818a12a0,Standard Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,63901c13-c9c3-4dfe-b90d-be70986a3bcd,1001.0,FlatFee,#N/A,#N/A,SHS-BP-XX-CPQ
102a767c-1551-4269-8687-6ff72d10011a,Business Stakeholder Tier 6,USD,#N/A,1001.0,#N/A,90000.0,77a61120-afd6-4a1c-ad54-3dafee4636c5,#N/A,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ
