Guid,Name,CurrencyIsoCode,SBQQ__AggregationScope__c,SBQQ__ConstraintField__c,SBQQ__CrossOrders__c,SBQQ__CrossProducts__c,SBQQ__Description__c,SBQQ__DiscountUnit__c,SBQQ__ExcludedPricebookIds__c,SBQQ__IncludeBundledProducts__c,SBQQ__OverrideBehavior__c,SBQQ__PriceScale__c,SBQQ__Pricebook__c,SBQQ__Product__c,SBQQ__QuoteLineQuantityField__c,SBQQ__Type__c,SBQQ__UsePriceForAmount__c,SBQQ__UserDefined__c,DiscountScheduleExternalID__c,DiscountScheduleName__c,ExtId__c,Ordered__c,QuoteOpportunityStage__c,SetDiscountReadOnlyWorkflow__c,fml_QuoteFromQLI__c,MaxTierDiscount__c,MaxDiscountTierLowerBoundValue__c,MaxDiscountTierUpperBoundValue__c
006131ab-77c7-411e-8d9e-3edf19c11e87,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,5f0602e6-3546-4e54-a912-8923edb49484,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0fe5fc38386015fc58b003c68c82c92a0fd5f33f2cb015f4aee6db03e15,false,#N/A,false,#N/A,#N/A,4.0,4.0
0d38fe5e-4905-4d05-ad82-d1d012fb32a6,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,96804401-3fe7-4d07-8b2c-0a1ee2d6188d,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0076a07e3bf016a13f4d1e60ffd2c92a00767300c620167327e72096ce1,false,#N/A,false,#N/A,#N/A,8.0,8.0
0e848f71-e551-49d2-8fb9-7c265bb2475c,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,96804401-3fe7-4d07-8b2c-0a1ee2d6188d,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0076b791265016b8aa22e3830992c92a00767300c620167327e72096ce1,false,#N/A,false,#N/A,#N/A,4.0,4.0
0fbb34a5-7cd0-40a0-b7e7-7b5d49ad06ff,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,96804401-3fe7-4d07-8b2c-0a1ee2d6188d,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0fc6f31ee8b016f6b365eeb270a2c92a00767300c620167327e72096ce1,false,#N/A,false,#N/A,#N/A,4.0,4.0
134091ac-34a3-47c2-9288-0b78be62e032,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,5f0602e6-3546-4e54-a912-8923edb49484,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0ff66207b52016639a4fe5624ea2c92a0fd5f33f2cb015f4aee6db03e15,false,#N/A,false,#N/A,#N/A,8.0,8.0
2122fe63-820f-465f-94d3-ac2ec352ab4c,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,96804401-3fe7-4d07-8b2c-0a1ee2d6188d,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 15:01:20Z,2c92a00b707bca4e0170932e60c945a92c92a00767300c620167327e72096ce1,false,#N/A,false,#N/A,65.7142857142857142857142857142857,26.0,26.0
26857130-a0e0-4efd-9ce9-26ef443a245c,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,5f0602e6-3546-4e54-a912-8923edb49484,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0ff6145d07001614de9f6797d8f2c92a0fd5f33f2cb015f4aee6db03e15,false,#N/A,false,#N/A,#N/A,4.0,4.0
34843ed1-118d-4d2b-a98a-096270199d52,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,5f0602e6-3546-4e54-a912-8923edb49484,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0ff5f91364e015f95ff484308f92c92a0fd5f33f2cb015f4aee6db03e15,false,#N/A,false,#N/A,#N/A,16.0,16.0
3ab8b0c6-f2b7-4177-99cf-5b8f42338071,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,96804401-3fe7-4d07-8b2c-0a1ee2d6188d,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0086f197a3f016f1dacea0412f92c92a00767300c620167327e72096ce1,false,#N/A,false,#N/A,#N/A,4.0,4.0
411690cf-7224-4e57-ae23-d92a0bfc63fc,Tiered Pricing - The Discounts apply only to their respective tiers.,USD,#N/A,#N/A,false,false,#N/A,Percent,#N/A,false,#N/A,2.0,4861353f-43ea-4659-af7d-b14a8d769281,5f0602e6-3546-4e54-a912-8923edb49484,Quantity,Slab,false,true,#N/A,DS-Tiered Pricing - The Discounts apply only to their respective tiers.-2020-06-19 14:15:56Z,2c92a0ff63afe3e40163f2d03bcf61172c92a0fd5f33f2cb015f4aee6db03e15,false,#N/A,false,#N/A,#N/A,4.0,4.0
