Guid,Name,CurrencyIsoCode,SBQQ__Schedule__c,SBQQ__DiscountAmount__c,SBQQ__Discount__c,SBQQ__LowerBound__c,SBQQ__Number__c,SBQQ__Price__c,SBQQ__UpperBound__c,DiscountTierExternalID__c,PriceFormat__c,Regular_Price__c,PricebookEntryUnitPrice__c,fml_CalculatedDiscount__c,Upper_Bound__c,fml_Discount_in_Percent__c,fml_QL_Product__c,fml_DiscountInPercent__c,DiscountOverride__c,fml_BillingFrequencyDivisor__c,fml_BillingFrequency__c,fml_DerivedEffectiveNetPrice__c,fml_PRPCId__c,fml_ProductId__c,fml_TierListPrice__c,EffectiveNetPriceOverride__c
005be9ee-7900-4df0-9414-cebf1a7ec683,Tier 2,USD,4f53af58-8dae-47c4-9995-c375ae005478,#N/A,0.0,4.0,2.0,34.0,#N/A,2c92a0fe6390d44b0163a6b145342cb42c92a0fd5f33f2cb015f4aee6db03e152,PerUnit,34.0,34.0,0.0,#N/A,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
05b182be-872f-468d-8af0-99c61f8a6ff0,Tier 1,USD,26857130-a0e0-4efd-9ce9-26ef443a245c,#N/A,0.0,1.0,1.0,9.0,4.0,2c92a0ff6145d07001614de9f6797d8f2c92a0fd5f33f2cb015f4aee6db03e151,PerUnit,34.0,34.0,73.5294118,3.0,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
05d48896-94bc-48d2-b2d6-a89db440be94,Tier 2,USD,a49be3f2-fe18-448c-ad05-dc20be2170bc,#N/A,0.0,4.0,2.0,34.0,#N/A,2c92a0fc70ec48940170f7fb4ced4d052c92a00767300c620167327e72096ce12,PerUnit,35.0,35.0,2.8571429,#N/A,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a00767300c620167327e72096ce1,01t2R00000CcOflQAF,0.0,#N/A
0ef7ce26-5967-4976-a701-a0634467e84d,Tier 2,USD,34843ed1-118d-4d2b-a98a-096270199d52,#N/A,0.0,16.0,2.0,34.0,#N/A,2c92a0ff5f91364e015f95ff484308f92c92a0fd5f33f2cb015f4aee6db03e152,PerUnit,34.0,34.0,0.0,#N/A,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
1662b41d-7d88-4d95-b014-55f54bfb0bd9,Tier 1,USD,c7d2bd84-6e3f-48ae-be64-b48be3e5a293,#N/A,0.0,1.0,1.0,9.0,4.0,2c92a00a70a42d950170bf22badf2a4e2c92a00767300c620167327e72096ce11,PerUnit,35.0,35.0,74.2857143,3.0,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a00767300c620167327e72096ce1,01t2R00000CcOflQAF,0.0,#N/A
1e1794bd-73fa-42f9-bfcb-8caf6ebf3a6c,Tier 1,USD,7f1294eb-f1b2-49ad-948c-87cb3587ced8,#N/A,0.0,1.0,1.0,9.0,4.0,2c92a0ff635c92ed01635d0064ef43ea2c92a0fd5f33f2cb015f4aee6db03e151,PerUnit,34.0,34.0,73.5294118,3.0,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
1fc16170-eb40-468e-8f81-734cfd7c1016,Tier 2,USD,e30df6df-73a3-4a22-9773-532f548a7e9d,#N/A,0.0,8.0,2.0,34.0,#N/A,2c92a00b70a43eb70170b1e8072c38aa2c92a00767300c620167327e72096ce12,PerUnit,35.0,35.0,2.8571429,#N/A,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a00767300c620167327e72096ce1,01t2R00000CcOflQAF,0.0,#N/A
27cbee0b-c02e-41cc-ab83-6a86ae0df7a2,Tier 1,USD,c3abcc28-4cec-41d6-bbfb-5ff86dc01309,#N/A,1.0,1.0,1.0,0.0,8.0,2c92a0ff61080b6801610b76eed216422c92a0fd5f33f2cb015f4aee6db03e151,FlatFee,0.0,34.0,100.0,7.0,1.0,#N/A,1.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
28590140-c1d8-4e8b-b239-f35e62253b06,Tier 2,USD,8a30fd33-66ce-4c70-aaca-37f9932f3bba,#N/A,0.0,4.0,2.0,34.0,#N/A,2c92a0ff6059609901605a79fc740c622c92a0fd5f33f2cb015f4aee6db03e152,PerUnit,34.0,34.0,0.0,#N/A,0.0,#N/A,0.0,#N/A,1.0,Monthly,#N/A,2c92a0fd5f33f2cb015f4aee6db03e15,01t2R00000CcOgCQAV,0.0,#N/A
2bc6b24e-cadf-46c1-abb4-a846dc078bfd,Tier 1,USD,2122fe63-820f-465f-94d3-ac2ec352ab4c,#N/A,100.0,1.0,1.0,299.0,26.0,2c92a00b707bca4e0170932e60c945a92c92a00767300c620167327e72096ce11,FlatFee,0.0,35.0,-754.2857143,25.0,100.0,#N/A,100.0,#N/A,1.0,Monthly,0.0,2c92a00767300c620167327e72096ce1,01t2R00000CcOflQAF,35.0,#N/A
