Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
012e188d-86b6-4717-9aad-f2ed7678f480,USD,22aaea2f-73e2-4a92-b350-14cd84349b9e,Value,Crisis Management Offer,#N/A,#N/A,not equals,false,true,Campaign__c,Quote,#N/A,#N/A
014bdd28-1a53-4d41-9064-4028d4669074,USD,9e66d065-2a33-4259-bbb0-4cd2f9245194,Value,Runbook Automation,#N/A,30.0,equals,true,true,LineOfBusiness__c,Quote,#N/A,#N/A
017cce32-fc60-47dd-bbe2-91b9095a5d5d,USD,94711913-3f3f-4fbe-93db-6cb23429a70a,Variable,1,d6c9e3ab-ff28-487c-826c-4e9485843f0b,1.0,greater than,false,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
02528271-3892-43eb-93df-1a105d11dd31,USD,a264f0e8-a69c-4a13-bad8-c3a0f4068bcf,Value,#N/A,#N/A,10.0,equals,true,false,#N/A,#N/A,9e2f856b-5ce7-43e0-8999-124d30ea6864,#N/A
02c7fada-e134-4c3c-bf13-144abab53566,USD,e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,Value,0,#N/A,20.0,greater than,false,false,#N/A,#N/A,f1874792-25c9-4c76-816b-1522961e9814,#N/A
0306c2a0-8fd0-4e15-b76a-e523a346c9d8,USD,9d4f9e49-d29b-44c2-b66c-9f290991146b,Value,#N/A,#N/A,20.0,equals,true,true,#N/A,#N/A,43efd8da-c774-4720-b098-1d905a6180b3,#N/A
034b8480-f7cc-4505-abf5-aa2fa3f6d70f,USD,34e92ca5-e95f-4a09-9469-e84a9f06c1af,Value,Customer Service Business,#N/A,4.0,contains,false,false,SBQQ__ProductName__c,Product Option,#N/A,#N/A
066a08ff-e20d-44a6-ae43-7c4a09d60c8c,USD,fc1d0419-19a6-410e-91bd-cb21c9c87f98,Value,FALSE,#N/A,1.0,equals,true,false,RemovePremiumSupport__c,Quote,#N/A,#N/A
06774227-76f4-42f9-b8a8-9e1606acaf04,USD,22170a76-48c4-4782-834a-48faa81bdf60,Value,1,#N/A,#N/A,greater than,true,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
0741d6f2-0e13-4f81-a283-41a891f41be3,USD,bed220de-f978-4f09-8928-903b51f555da,Value,TRUE,#N/A,10.0,equals,true,true,fml_IsAmendment__c,Quote,#N/A,#N/A
07bf82cc-552c-4e72-bc12-2f44bb6b74bb,USD,9f15544c-170d-4afb-a618-2067b9a7f40a,Value,50,#N/A,40.0,less than,true,true,#N/A,#N/A,bab5e04e-6039-4b8d-aa14-be360a624400,#N/A
086562d3-a41c-4621-863b-67805d59e772,USD,803c48f7-0498-431c-8f66-edea41cd3426,Value,Time,#N/A,#N/A,starts with,true,true,SBQQ__ProductName__c,Quote Line,#N/A,#N/A
08863974-dc2d-4c2a-897a-3968634e0d7a,USD,e7c3a5a2-cb71-4f8b-bcea-5573ae0821c7,Value,#N/A,#N/A,10.0,not equals,true,true,SBQQ__RenewedSubscription__c,Quote Line,#N/A,#N/A
08edbc74-a4eb-440c-8851-38c7103ab38a,USD,9d4f9e49-d29b-44c2-b66c-9f290991146b,Value,PagerDuty,#N/A,50.0,equals,true,true,LineOfBusiness__c,Quote,#N/A,#N/A
091029ec-2600-4ee6-a9c2-b5236611c0b7,USD,2d3fa280-4519-4c65-8554-c57ef0e07a49,Value,0,#N/A,#N/A,greater than,true,true,#N/A,#N/A,36313caf-82d8-48a9-8cdd-1ca578fa2659,#N/A
09fa4a53-40ef-469e-b86c-5b921de5afb5,USD,e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,Value,0,#N/A,10.0,greater than,false,false,#N/A,#N/A,52421ca7-bcae-4274-89d4-d67f1d48fd8d,#N/A
0ac62afb-570f-41d5-b6a5-ce8d13eed6a0,USD,9e66d065-2a33-4259-bbb0-4cd2f9245194,Value,FALSE,#N/A,60.0,equals,true,true,SalesOpsOverride__c,Quote,#N/A,#N/A
0d91e380-6ba3-4af4-87ac-a67a9456270b,USD,a44dabfb-659f-4ee7-9427-6bd8db1f1186,Value,1,#N/A,#N/A,greater than,true,true,#N/A,#N/A,61320187-0a31-46b6-85c5-16a7b82fd0e8,#N/A
0dd68e37-dc40-4d50-8896-00fb23a84f3c,USD,b760aec0-e61a-4c6b-a0a8-d0d4e9112249,Value,0,#N/A,#N/A,greater than,true,false,#N/A,#N/A,9f7245e9-a638-4d5e-9beb-c0e6787b009a,#N/A
0f9ebc82-d8a1-4dd7-836d-0c213d456414,USD,2a0820a2-9a0b-41ce-9937-02a3f02af456,Value,0,#N/A,10.0,less or equals,true,false,#N/A,#N/A,244537ec-ebc7-4a90-84e7-fad15ba9abdd,#N/A
0fd73876-c344-4501-a97b-b914ea66bcba,USD,8cc33154-431e-4fcd-8019-77fb238bf090,Value,5,#N/A,3.0,less than,true,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
105fbfbb-ce99-4003-b815-3bfbc945d7bf,USD,2b998339-fde1-4073-aecc-5c59d89419ba,Value,0,#N/A,60.0,greater than,true,true,#N/A,Quote,4d16af3d-a246-4b37-a4d1-f05ed28cea3d,#N/A
10940b15-a375-4004-ba79-97fa1721c161,USD,e7c3a5a2-cb71-4f8b-bcea-5573ae0821c7,Value,0,#N/A,30.0,greater than,true,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
111073b7-61e9-4063-a37b-388915a6a412,USD,34e92ca5-e95f-4a09-9469-e84a9f06c1af,Value,BP,#N/A,2.0,contains,false,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
12e36c5c-2252-4968-879c-2ddf93e10276,USD,e0e3ac6b-e299-43d5-99b6-df508e97ac34,Value,FALSE,#N/A,6.0,equals,true,true,SalesOpsOverride__c,Quote,#N/A,#N/A
