Guid,CurrencyIsoCode,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c,LookupQueryExternalID__c
12753635-7953-442e-92a5-8f0dbf0fad02,USD,MaxQty__c,Field Value,less or equals,false,4badb129-d881-4f61-80f4-0e4afc6ff249,Discount_Approval_Matrix_Rundeck_User__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
1289b32a-63c6-4a3d-b5f5-7d6109950568,USD,MinDiscount__c,Field Value,greater or equals,false,4c3f2166-2e00-498a-bea3-d647988fcdf8,ExistingBusinessBase__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
1510aeb8-5c31-4f6b-959e-00f186dbd41c,USD,MinDiscount__c,Field Value,greater or equals,false,9a75457f-a6fe-4036-8bdc-06c1cffd3507,ExistingBusinessAddOn__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
17e8e829-855e-4d86-8169-30ccc308fd43,USD,MinQty__c,Field Value,greater or equals,false,9a75457f-a6fe-4036-8bdc-06c1cffd3507,ExistingBusinessAddOn__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
1a0bd9f9-0718-4efa-81dc-531991c5313e,USD,CPQBillingFrequency__c,Field Value,equals,true,2a96b1d4-721d-47d8-9546-a8c99661ed0f,CPQ_Zuora_Mapping_Annual__c,true,Billing_Frequency2__c,Quote,#N/A,a7z0t0000004S2JAAU20190730130341Z20190730130336Z
245fb6f9-d07d-4275-908e-cd2bf694cad8,USD,ProductCode__c,Field Value,equals,true,2a96b1d4-721d-47d8-9546-a8c99661ed0f,CPQ_Zuora_Mapping_Annual__c,true,SBQQ__ProductCode__c,Quote Line,#N/A,a7z0t0000004S8hAAE20190804230348Z20190804230345Z
25633488-8528-4dad-ba8a-67ee7a50a304,USD,MaximumDiscount__c,Field Value,less or equals,false,ff0870fd-eb6e-44fb-be9f-a8b7b53a9f4f,AI_Ops_Discount_Approval_Matrix__c,true,TotalDiscountCustom__c,Quote Line,#N/A,#N/A
270d8ff6-6857-4126-afca-df2cffb7fc24,USD,MinQty__c,Field Value,greater or equals,false,85789319-e606-4940-ba8b-a9ec21bb6b38,NewBusinessAddOn__c,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
29a22da2-9947-4e27-9ebb-5c1c5cd92209,USD,ProductRatePlanId__c,Field Value,equals,true,f14bbd02-a627-43a0-af21-97e948cc5f17,CPQ_Zuora_Mapping_Annual__c,true,ProductRatePlanId__c,Quote Line,#N/A,#N/A
3f99314f-653f-438f-9788-b030f23f4389,USD,MaximumListPrice__c,Field Value,less or equals,false,ff0870fd-eb6e-44fb-be9f-a8b7b53a9f4f,AI_Ops_Discount_Approval_Matrix__c,true,SBQQ__ListPrice__c,Quote Line,#N/A,#N/A
