Guid,Name,CurrencyIsoCode,SBQQ__ConstrainedOption__c,SBQQ__Active__c,SBQQ__CheckPriorPurchases__c,SBQQ__ConfiguredSKU__c,SBQQ__ConstrainingOption__c,SBQQ__OptionConstraintGroup__c,SBQQ__Type__c,OptionConstraintExternalID__c,Constraint_products__c
03d66417-27a9-41fd-b5d8-277d337cb1f4,RBA Self Hosted TAM Requires RBA Self Hosted Cluster,USD,b4e2015e-b42e-47a7-8b10-8bfdf2a190ee,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,4e309619-b339-48d4-a408-d7612dac3d14,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Technical Account Manager (TAM) Support Services is constrained By PD Runbook Automation Self Hosted - 1 Cluster
063a7190-db5f-4922-b166-5075d1d218e6,Enable Professional Services On Demand Selection For Full User Tiered,USD,f0a2c8e9-9e7d-47b7-ae20-f05f7d5ce1c4,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,060bf2ca-e79b-4535-a654-0755aa801032,#N/A,Dependency,#N/A,Professional Services - On Demand is constrained By Runbook Automation SaaS - Full User Tiered
07d6b2a3-3c86-4e9e-91ff-f37a5b8279aa,Enable Runbook Professional Services - On Demand 10 Hour Selection For Full User,USD,34fc6d4c-b03e-47bd-af7a-aafece62a3e6,true,false,535e5662-2ff3-4ad2-b1ed-75341d9bb251,bf341b75-23c1-48ec-9dfd-7794c2ae138b,#N/A,Dependency,#N/A,Professional Services - On Demand (10 hours) is constrained By Runbook Automation SaaS - Full User
1231ac27-ac0e-4b65-aea4-e66b0ef48dd9,Runbook TAM Requires PagerDuty Cloud Platform Automation Fee,USD,11b71d92-dd90-4f65-a933-770d19e9d1a1,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,df1b222d-d238-4e42-a72e-d19400501c10,#N/A,Dependency,#N/A,PagerDuty Automation (SaaS) Technical Account Manager (TAM) Support Services is constrained By PagerDuty Cloud Automation Platform Fee (SaaS)
14f2bb27-05e3-483e-941b-aa3f4b4c5698,RBA Self Hosted Use Case Accelerator Requires RBA Self Hosted Cluster,USD,a6964cc9-1637-4217-9da1-ea15f305dbd0,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,4e309619-b339-48d4-a408-d7612dac3d14,#N/A,Dependency,#N/A,PD Runbook Automation Self Hosted - Use Case Accelerator is constrained By PD Runbook Automation Self Hosted - 1 Cluster
19265945-e6d2-4c97-96f8-91204b333cea,Process Automation Training 9-Hour Requires RBA Self Hosted Instance,USD,2ed3ece1-35eb-4f31-8b00-992323f4a673,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,192c9a69-1897-4584-a292-6eb1daa32881,#N/A,Dependency,#N/A,PD Process Automation Training - Attendee - 9-Hour is constrained By PD Runbook Automation Self Hosted - Single Instance
2446834b-6c9c-4b88-8a8c-b604f2d0a934,WFA Tier 5 Requires Cloud Automation Fee,USD,9e9274bd-6d9b-4597-9dd2-2aee22227194,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,df1b222d-d238-4e42-a72e-d19400501c10,#N/A,Dependency,#N/A,PagerDuty Workflow Automation (previously Catalytic) Up To 50 Workflows is constrained By PagerDuty Cloud Automation Platform Fee (SaaS)
2e8e7e19-9f9e-46ef-8999-300864655402,Enterprise Platinum Cluster Add-on 2,USD,e3ac04e5-195d-4dd0-bc93-00e171d4c3f0,true,false,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,404d672a-eaef-4960-ba9b-49dbe7b49579,#N/A,Dependency,#N/A,Additional Instance in PD Process Automation On-Prem Platinum Cluster is constrained By PD Process Automation On Prem Platinum - 2 Clusters
335f2190-bbb7-424e-b771-a9c7ef6d0381,WFA Tier 2 Requires Cloud Automation Fee,USD,fb01f3f5-b23c-43ca-b6fc-e9b1e17d9f23,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,df1b222d-d238-4e42-a72e-d19400501c10,#N/A,Dependency,#N/A,PagerDuty Workflow Automation (previously Catalytic) Up To 5 Workflows is constrained By PagerDuty Cloud Automation Platform Fee (SaaS)
4069f774-d312-437d-b78b-226319385d91,WFA Tier 1 Requires Cloud Automation Fee,USD,e743d0a4-7190-4d35-ad22-65ddf53221d6,true,false,c43722d8-46f7-4a53-95b0-500b513e0b0d,df1b222d-d238-4e42-a72e-d19400501c10,#N/A,Dependency,#N/A,PagerDuty Workflow Automation (previously Catalytic) Up To 3 Workflows is constrained By PagerDuty Cloud Automation Platform Fee (SaaS)
