Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,PriceActionExternalID__c
011cd9ca-c67e-43b3-946b-8c97c15c8e84,USD,a69f62dc-a548-42ae-a1c0-60c433b81c3c,SubscriptionType__c,#N/A,#N/A,true,#N/A,true,#N/A,#N/A,Quote,#N/A,Evergreen,#N/A
0121283b-d48b-482e-8247-85b357fa673e,USD,96c9cc2a-4325-47ad-a311-d6522672f5a8,SubscriptionUpdateTypeOverride__c,#N/A,#N/A,true,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A,a83110000004pA3AAI20210325230305Z20210325230301Z
033820d3-f4be-40c7-aaeb-855dd7430a93,USD,e45f3816-09c5-4eb3-8129-c89343deec7a,Tax_Exempt_ID__c,"IF(
  OR(
      AND(
              NOT(ISBLANK(SBQQ__Opportunity2__r.Partner__c)),
              SBQQ__MasterContract__r.Communication_Profile__c != 
              'Reseller Communication Profile'
              ),
      AND(
              ISBLANK(SBQQ__Partner__c),
              SBQQ__MasterContract__r.Communication_Profile__c = 
              'Reseller Communication Profile'
              )
         ),
    Tax_Exempt_ID__c,
    SBQQ__MasterContract__r.Zuora_TaxExemptCertificateID__c
  )",#N/A,true,#N/A,true,#N/A,#N/A,Quote,#N/A,#N/A,#N/A
0524ebb7-9348-4acc-a6e9-821998e8d7b2,USD,8cfecd5a-416e-43db-b15c-35e9ba976333,SBQQ__SpecialPriceType__c,#N/A,#N/A,true,#N/A,true,#N/A,#N/A,Quote Line,#N/A,Custom,#N/A
0711a883-7a8a-4df0-acb0-7186a4744bb7,USD,acb5f686-6ab3-4ecc-9d5e-f3f9c4b38b51,IsPartnerQuote__c,#N/A,#N/A,true,#N/A,true,#N/A,#N/A,Quote,#N/A,TRUE,#N/A
07704b87-af83-4630-befc-698a007d1801,USD,2a96b1d4-721d-47d8-9546-a8c99661ed0f,ProductRatePlanId__c,#N/A,#N/A,true,CPQ_Zuora_Mapping_Annual__c,true,ProductRatePlanId__c,#N/A,Quote Line,#N/A,#N/A,a830t0000000B24AAE20190730130627Z20190730130626Z
086b1ce0-75c8-44e7-b910-c44c3fb09449,USD,1895aaa9-90c3-4d5d-9e0a-663de97d988f,NonAnnual__c,#N/A,#N/A,true,#N/A,true,#N/A,#N/A,Quote,#N/A,TRUE,a830t0000000BCUAA220191009182234Z20191009182232Z
09f12b04-8c6a-43ed-a5e5-faaeb2aed074,USD,75ac0695-8a78-4525-8e74-de0081f6e0a1,Multi_Year_Billed_all_Upfront__c,FALSE,#N/A,false,#N/A,true,#N/A,#N/A,Quote,#N/A,#N/A,a83110000004qzZAAQ20210622214819Z20210622214815Z
0a27bd25-2197-408b-9177-73264c7f0d55,USD,61f8e469-464e-4d1c-8074-262539134123,QtyIncreaseLineCount__c,#N/A,#N/A,true,#N/A,true,#N/A,4c77f102-6481-4f77-8552-27217f69dea4,Quote,#N/A,#N/A,#N/A
0de331fe-7793-42a9-a584-393c7e7472b9,USD,feb03d8f-6ce6-4b4f-a092-3bb91bd687bc,ProductRatePlanId__c,#N/A,#N/A,true,CPQ_Zuora_Mapping_Quarterly__c,true,ProductRatePlanId__c,#N/A,Quote Line,#N/A,#N/A,a830t0000000B6WAAU20190804034206Z20190804034204Z
