Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c,PriceConditionExternalID__c
0053acad-60fd-4190-9278-159a0440c752,USD,426df93b-eca9-440d-82e2-e1d34becbf88,BaseLineDiscountLessThanAccountDiscount__c,#N/A,Value,#N/A,2.0,Quote,equals,true,true,#N/A,#N/A,TRUE,#N/A
00817e4c-8d38-4913-a12e-09f8046392f0,USD,ee0c21f6-b001-4493-9f78-4218bf0f7638,Tiered_Product__c,#N/A,Value,#N/A,2.0,Quote Line,equals,true,true,#N/A,#N/A,FALSE,#N/A
008bb039-2a72-41a3-b7ec-5512d6024b48,USD,d0127b1b-66a1-4376-8725-e3d1d7f0a57b,SBQQ__ProductCode__c,#N/A,Value,#N/A,20.0,Quote Line,starts with,true,true,#N/A,#N/A,AIO,#N/A
00a1f640-fadc-4ad8-a74f-bb978e2947e9,USD,5e670777-4737-4962-8241-9423ad257373,SBQQ__Type__c,#N/A,Value,#N/A,100.0,Quote,equals,true,true,#N/A,#N/A,Amendment,#N/A
0132a8d8-6209-4b4a-ac51-b44ea687ed98,USD,355266b0-d544-48e7-b08f-77a1fd8d859d,Tiered_Product__c,#N/A,Value,#N/A,2.0,Quote Line,equals,false,true,#N/A,#N/A,FALSE,#N/A
047ecc59-ce4f-4ead-9ff8-441691cdcf9a,USD,165ed002-328e-47fb-85ac-67dfe99fad3e,QuantityOfTier3IncidentResponse__c,#N/A,Variable,4df709c6-ff07-4c36-9e74-88d2f36ae04d,30.0,Quote,not equals,true,true,#N/A,#N/A,#N/A,#N/A
04cf3d13-1491-40f1-b02a-df39b7e6aaba,USD,cbe97e6c-04f8-4a66-83d8-1758568041ba,ApprovedDiscount__c,"IF(SBQQ__ProratedListPrice__c == 0, 0,
IF(ISPICKVAL(SBQQ__DiscountScheduleType__c, 'Slab') && NOT(SBQQ__Existing__c),
IF(SBQQ__Quantity__c == 0, 0, (SBQQ__ProratedListPrice__c * SBQQ__Quantity__c - SBQQ__CustomerPrice__c) / (SBQQ__Quantity__c * SBQQ__ProratedListPrice__c)),
IF(ISPICKVAL(SBQQ__DiscountScheduleType__c, 'Slab') && SBQQ__Existing__c,
IF(SBQQ__Quantity__c == SBQQ__PriorQuantity__c, 0, (SBQQ__ProratedListPrice__c * (SBQQ__Quantity__c-SBQQ__PriorQuantity__c) - SBQQ__CustomerPrice__c) / ((SBQQ__Quantity__c-SBQQ__PriorQuantity__c) * SBQQ__ProratedListPrice__c)),
(SBQQ__ProratedListPrice__c - SBQQ__CustomerPrice__c) / SBQQ__ProratedListPrice__c)))",Formula,#N/A,1.0,Quote Line,greater or equals,false,true,#N/A,#N/A,#N/A,#N/A
04fc8e94-efa4-43d9-9e1d-083d9ed51430,USD,5a486541-605e-4233-877a-f6289009d781,TotalDiscountCustom__c,#N/A,Value,#N/A,2.0,Quote Line,less or equals,true,true,#N/A,#N/A,50,#N/A
0540868d-459e-4d85-8bbb-a57aa0d6f3e5,USD,5293eb00-c054-44ab-b4e7-a7f7f61483f9,Master_Term_Period__c,#N/A,Value,#N/A,2.0,Quote,equals,true,true,#N/A,#N/A,Day,#N/A
05f49218-f984-404e-a0fc-6a91781f9751,USD,66273d6a-8f84-4910-9edb-a41c6e8ee18d,SBQQ__ProductName__c,#N/A,Value,#N/A,2.0,Quote Line,equals,true,true,#N/A,#N/A,Credit,#N/A
0648c207-95e1-4695-9c08-4cb508a18975,USD,5ea0e184-f6ed-417a-a68e-b55599b3fc40,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,starts with,true,true,#N/A,#N/A,AIO,#N/A
06676603-2a12-41b4-a404-2d4cf1f4e481,USD,3a9120ce-a4e1-4134-879c-3e3d4fa93cbc,ExpirationDateisafterStartDate__c,#N/A,Value,#N/A,#N/A,Quote,equals,true,true,#N/A,#N/A,TRUE,#N/A
06d7c87a-940d-4222-a71f-d77eb2e3855d,USD,24c79be9-844c-4e24-a146-2e92dcad7380,MaximumLineitemdiscount__c,#N/A,Value,#N/A,1.0,Quote,equals,true,true,#N/A,#N/A,100,#N/A
0753822c-1f6e-47f0-ad9b-ce322fed1ddc,USD,e95954e6-a1eb-4f0c-8ff1-66567dfe811c,ExistingBusinessNoApproval__c,#N/A,Value,#N/A,2.0,Quote Line,equals,true,true,#N/A,#N/A,FALSE,#N/A
07a95e2e-6770-4d81-a8cb-e731b58a8e87,USD,207ed962-ee62-4c76-ac02-27208894081a,Contract_Type__c,#N/A,Value,#N/A,30.0,Quote,contains,true,true,#N/A,#N/A,MSA,#N/A
0a14a83c-6064-4c8a-98bf-c3d24cc6f582,USD,5293eb00-c054-44ab-b4e7-a7f7f61483f9,Override_Non_Annual_Checkbox__c,#N/A,Value,#N/A,6.0,Quote,not equals,true,true,#N/A,#N/A,YES,#N/A
0ace8e2a-83c0-4d5a-baec-553afc0fdf7d,USD,431e7ef9-0199-4261-ad6e-e35ee4a317f0,SBQQ__ProductCode__c,#N/A,Value,#N/A,30.0,Quote Line,equals,true,true,#N/A,#N/A,RESI-BP-XX-CPQ,#N/A
0b3cf8da-71c7-4333-a934-c45b41339046,USD,bd36be01-51b4-4d65-a1ee-1a070c84f836,RundeckUser__c,#N/A,Value,#N/A,3.0,Quote Line,equals,false,true,#N/A,#N/A,FALSE,#N/A
0cb17399-4544-4bb9-9938-d4cc03f753a1,USD,bd36be01-51b4-4d65-a1ee-1a070c84f836,DiscountingMatrixExemptProduct__c,#N/A,Value,#N/A,1.0,Quote Line,equals,false,true,#N/A,#N/A,FALSE,#N/A
0cd46e14-6ea7-4055-bdb8-5b4abab8da79,USD,d82fb2ee-5d19-4f0a-9cd2-068bc74fe381,OverridePartnerDiscount__c,#N/A,Value,#N/A,60.0,Quote Line,equals,true,true,#N/A,#N/A,FALSE,#N/A
0ea41482-9c26-4df8-9755-cdfd76d95d5e,USD,993493d9-3deb-4306-85d2-b709b870f1f6,Multi_Year_Billed_all_Upfront__c,#N/A,Value,#N/A,1.0,Quote,equals,true,true,#N/A,#N/A,TRUE,#N/A
0fe46ee4-e14e-4e3d-baa4-5c05574b8fb3,USD,d0127b1b-66a1-4376-8725-e3d1d7f0a57b,SBQQ__ProductCode__c,#N/A,Value,#N/A,40.0,Quote Line,starts with,true,true,#N/A,#N/A,PDADV,#N/A
1094f0d1-11ac-4019-a05e-ca76285b70cd,USD,d93a9f36-97df-4efd-8c0e-7c3a25d1d9e5,SBQQ__MasterContract__c,#N/A,Value,#N/A,30.0,Quote,equals,true,true,#N/A,#N/A,#N/A,#N/A
119190da-d39e-4963-816e-b941b8495eb9,USD,9c6d36f2-cd80-4a6b-82ce-af8c6ab3b646,#N/A,#N/A,Value,#N/A,#N/A,Summary Variable,greater than,true,true,#N/A,43efd8da-c774-4720-b098-1d905a6180b3,25,#N/A
11c4196d-4697-4e59-bd39-72dfbbb5bb35,USD,2d9b0eb2-85ad-4eba-b84e-10601946f4e9,CountOfPagerDutyAdvance__c,#N/A,Variable,172398b8-ef4e-4e1e-a5f9-5d34c05cb5d4,10.0,Quote,not equals,true,true,#N/A,#N/A,#N/A,#N/A
134e80ce-aa46-4ba8-9dd0-1ec1cc313b94,USD,280fbad3-6cd0-4a1e-a2a8-0554dab4fe24,fml_JeliAdded__c,#N/A,Value,#N/A,10.0,Quote Line,equals,true,true,#N/A,#N/A,TRUE,#N/A
