Guid,Name,CurrencyIsoCode,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c,PriceRuleExternalID__c,Description__c
03fd5d88-4b85-4114-97d0-a202ecae4af8,Set Subscription Update Type Override to N/A on Quote Line,USD,true,1 AND 2 AND (3 OR 4),Custom,#N/A,On Calculate,701.0,#N/A,Calculator,a85110000008XbuAAE20210325221908Z20210325221903Z,#N/A
047410ca-4ab8-4d55-9d25-348e2d71b48b,Clear Service Discount Approval Required Rollup On Quote,USD,true,#N/A,All,#N/A,After Calculate,12.0,#N/A,Calculator,a85110000008Yb2AAE20211118203820Z20211118203815Z,"Field used in an approval condition on the Services Discount Approval Rule. This rule resets the value if Professional Services are removed from quote, so that a pre-existing discount from a service product is removed will reset this to 0."
06ee174d-f13c-4a6f-aaf0-17d613433321,Set Discount Approval Level To 0 IF Discount Less Than Last Approved Discount+5%,USD,true,#N/A,All,#N/A,After Calculate,310.0,#N/A,Calculator,a85110000008XaXAAU20210311040126Z20210311040122Z,this rule sets the approval discount level to zero (auto Approves Quote Line) when a discount is less than the Approved Discount + 5% AND Discount is less than 40%.
0911f057-08f5-4f7a-a829-14852c7d9a71,Populate Discount Approval Level - Discount Approval Matrix Rundeck Clusters,USD,false,#N/A,All,#N/A,After Calculate,23.0,Discount_Approval_Matrix_Rundeck_Cluster__c,Calculator,a85110000008XkYAAU20210601043343Z20210601043339Z,populates the approval level on the quote line based on approval logic in a separate table.
0a6d512d-5d4b-4d29-9a3f-24241c3ad65f,Populate Qty Increase Line Count Rollup On Quote,USD,true,#N/A,All,#N/A,Before Calculate,200.0,#N/A,Calculator,#N/A,#N/A
0e3c97cf-39b2-4468-81ac-e9280f9f8f4d,Set SBQQ__Billing_Frequency__c value to BillingFrequency__c,USD,true,#N/A,All,#N/A,After Calculate,40.0,#N/A,Calculator,a850t0000002qn9AAA20190528213144Z20190528213143Z,sets the package field Billing Frequency with a custom Billing Frequency field.
0f772193-b1ad-499b-9a75-52653cba05cb,Set Expiration Date to Opp Close Date when discrepancy is noted,USD,true,#N/A,All,#N/A,Before Calculate,60.0,#N/A,Calculator,#N/A,this rule sets the Expiration Date of the Quote to the close date of the opportunity if they don't already match.
0f8973de-3091-4e0f-a4ff-e9dbd7880567,Stamp PD Analytics Quantity,USD,true,#N/A,All,#N/A,After Calculate,180.0,#N/A,Calculator,#N/A,this rule sets a quote level field to tally the quantities of all PD Analytics products on the quote.
0fd3ba6b-c655-47bb-982f-2e9b67f48ae5,Set Silver Services Child Bundle Options Additional Discount %,USD,true,#N/A,Any,#N/A,On Calculate,200.0,#N/A,Calculator,#N/A,#N/A
1142d3eb-3a4c-46b3-a781-c5d9ea9e7201,Set Term Credit to Negative,USD,true,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Calculator,#N/A,#N/A
1168e43a-a6b7-484f-8f90-44bba76ae339,Populate Discount Approval Level - New Business Base,USD,false,#N/A,All,#N/A,After Calculate,21.0,NewBusinessBase__c,Calculator,#N/A,populates the approval level on the quote line based on approval logic in a separate table.
