Guid,Name,CurrencyIsoCode,SBQQ__Category__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfiguredSKU__c,SBQQ__DiscountSchedule__c,SBQQ__DynamicProductFilterFieldSet__c,SBQQ__DynamicProductLookupFieldSet__c,SBQQ__MaxOptionCount__c,SBQQ__MinOptionCount__c,SBQQ__Number__c,SBQQ__OptionSelectionMethod__c,FeatureExternalID__c
01dfe2db-abd4-4755-9ced-47c2d4840120,Add-on Products,USD,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,#N/A,#N/A,#N/A,#N/A,0.0,20.0,#N/A,a8E0t0000001eiLEAQ20191010164802Z20191010164802Z
070522cb-a646-4c61-97f0-02dd4e70e591,Users,USD,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,#N/A,#N/A,#N/A,#N/A,0.0,30.0,#N/A,#N/A
0d5f7c02-325a-4e37-99c8-8117a480931e,AIOPs,USD,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,#N/A,#N/A,#N/A,1.0,0.0,30.0,#N/A,#N/A
1410a49d-1deb-41f6-955a-3801602108ec,PD Runbook Automation Self Hosted Support,USD,Runbook Self Hosted,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,0.0,68.0,#N/A,#N/A
1c52ff6b-612a-480c-adad-0a7fb55ef056,PD Runbook Automation Self Hosted Users,USD,Runbook Self Hosted,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,2.0,0.0,66.0,#N/A,#N/A
1ff955c4-bc4c-4aea-bc9c-d358a2c93440,Instances and Clusters,USD,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,#N/A,#N/A,#N/A,#N/A,1.0,10.0,#N/A,#N/A
22108434-2c04-4608-879a-6ff2030887f6,AI Ops,USD,Add Ons,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,1.0,0.0,90.0,#N/A,#N/A
24df1d9e-ebf1-48f1-8894-caa6640b315f,PagerDuty Advance,USD,Add Ons,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,1.0,0.0,80.0,#N/A,#N/A
2536948c-d265-4457-8227-591e289abafe,Add-on Products,USD,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,#N/A,#N/A,#N/A,#N/A,0.0,20.0,#N/A,#N/A
2747a063-674b-40f1-bf2f-3631deae527c,Base Products,USD,#N/A,#N/A,49e50fb9-ee3b-4e7b-9adf-61ebab155598,#N/A,#N/A,#N/A,1.0,1.0,10.0,#N/A,#N/A
2bdfb80c-7814-481b-a0a0-33008dab1081,Jeli,USD,Legacy,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,1.0,0.0,70.0,#N/A,#N/A
2d2aa36a-8545-49f4-8f26-06e442de4ef4,Premium Services,USD,#N/A,#N/A,530b4efe-bd56-4236-b400-8548cd3f5bc0,#N/A,#N/A,#N/A,#N/A,0.0,30.0,#N/A,#N/A
2e6cef15-b8fd-43c4-8d17-f7e4a266dd2a,Services,USD,#N/A,#N/A,2929ce85-d29e-4266-9d78-3d3541d4a56c,#N/A,#N/A,#N/A,#N/A,0.0,20.0,#N/A,#N/A
2fa04009-4ab6-41a5-a178-906dc99e4d96,Training Products,USD,#N/A,#N/A,9156e32a-c0fe-4a9a-93e0-7a45d3beda8c,#N/A,#N/A,#N/A,#N/A,0.0,50.0,#N/A,#N/A
