Guid,CurrencyIsoCode,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__ConfiguredSKU__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__DiscountSchedule__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__Feature__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__OptionalSKU__c,SBQQ__PriceEditable__c,SBQQ__ProductCode__c,SBQQ__ProductConfigurationType__c,SBQQ__ProductDescription__c,SBQQ__ProductFamily__c,SBQQ__ProductName__c,SBQQ__ProductQuantityScale__c,SBQQ__ProductSubscriptionPricing__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c,OptionExternalID__c,ZuoraRatePlanChargeID__c,ZuoraRatePlanID__c,Hide_from_Bundle__c,DigitalOperationsProduct__c,IncludedInDigitalOperations__c,ProductOptionProductCode__c,Business_Product__c,ParentOptionProductCode__c,Is_Rundeck_Add_on__c,fml_Feature_Name__c,Excluded_from_Purchasing_CS_licenses__c,PD_Rundeck_Option_Right_To_Buy__c,CanNotSellWithProfessional__c,Professional_Base_Product__c,fml_Is_Professional_Base__c,No_Stakeholder_Rate_Plan_Charge__c,fml_PrimaryBaseProduct__c,SilverGoldProductOption__c,fml_IsEnterpriseProduct__c,fml_IsCustomerServiceProduct__c
00483bf0-ffee-4c27-a01e-50211f4f7661,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,#N/A,#N/A,#N/A,#N/A,false,#N/A,01dfe2db-abd4-4755-9ced-47c2d4840120,#N/A,#N/A,25.0,611576bc-6d9f-48d4-89d9-8d0c6e4cdaf9,No,LCML-AO-SS-CPQ,#N/A,Live Call Routing Month to Month Line Fee,Add-On Product,Live Call Routing M2M LCR Line Fee,#N/A,Fixed Price,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,false,LCML-AO-SS-CPQ,false,PDEGN-XX-XX-CPQ,false,Add-on Products,false,false,false,false,false,false,false,false,false,false
0092c438-51ab-4a6c-ae97-af241e9e2279,USD,Always,true,false,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,false,#N/A,85629a0d-5446-4530-8dc7-9dd962d194f7,#N/A,#N/A,10.0,448b9733-1213-44f8-b64e-21c9faefc40f,No,EIE-AO-LU-CPQ,#N/A,Event Intelligence,Add-On Package,Event Intelligence,#N/A,Fixed Price,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,true,EIE-AO-LU-CPQ,false,PDSUB-XX-XX-CPQ,false,IM / CS Add-on Products - Legacy,false,false,false,false,false,false,false,false,false,false
012c69db-295a-4d4c-97e1-8e7dbf3fc3e7,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,false,#N/A,c3409cf2-ef9e-4936-ab55-aa5ac67e1588,#N/A,#N/A,50.0,540eaaba-1447-4ae2-af5b-7e8abddf8cf8,No,ESO-SE-SS-CPQ,#N/A,Expert Services - Instance Optimization Package,Service,Expert Services - Instance Optimization Package,#N/A,#N/A,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,a8F0t0000000EwTEAU20190610183653Z20190610183653Z,#N/A,#N/A,false,false,false,ESO-SE-SS-CPQ,false,PDSUB-XX-XX-CPQ,false,Premium Services,false,false,false,false,false,false,false,false,false,false
01dfb073-cd99-46b9-ae49-a10b1d074aff,USD,Always,true,false,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,false,#N/A,31074d66-6478-4f6f-ba0a-c911ee7c3d2c,#N/A,#N/A,45.0,4aef1ea5-6125-46bf-9633-f80bd2a16cbd,No,CSD-BP-XX-CPQ,#N/A,Customer Service Digital Operations,Base Product,Customer Service Digital Operations,#N/A,Fixed Price,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,true,false,#N/A,false,#N/A,false,Incident Management / Customer Service - Legacy,false,false,false,false,false,true,false,false,false,true
0238401c-702f-4fc5-860a-84726584225a,USD,Always,true,false,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,false,#N/A,ca984c90-46ec-403e-879a-92eb5e66736d,#N/A,#N/A,30.0,4e2f9eb1-e305-446a-9b12-f56d48e8b8d7,No,PSP3-AO-SS-CPQ,#N/A,Premium Status Pages 25K Subscriptions/Year,Add-On Product,PagerDuty Status Page - Premium (25k Subscribers),#N/A,Fixed Price,false,1.0,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,#N/A,false,Status Page,false,false,false,false,false,false,false,false,false,false
02b54c31-91f4-4d10-86e0-ebd0299a3c1e,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,#N/A,#N/A,#N/A,#N/A,false,#N/A,606409f3-b302-44bf-a3fa-13fdb5e1f4a5,#N/A,#N/A,51.0,04cc83ef-a7f3-4df4-9791-2116c4983326,No,PDA-AO-LU-CPQ,#N/A,PagerDuty Analytics,Add-On Package,PagerDuty Analytics for your Org,#N/A,Fixed Price,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,a8F0t00000015rqEAA20190809195143Z20190809195143Z,#N/A,#N/A,false,false,false,PDA-AO-LU-CPQ,false,PDSUB-XX-XX-CPQ,false,IM / CS Add-on Products,false,false,false,false,false,false,false,false,false,false
03cb1e9b-8a17-4502-b960-0d314385b93a,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,#N/A,#N/A,#N/A,#N/A,false,#N/A,01dfe2db-abd4-4755-9ced-47c2d4840120,#N/A,#N/A,250.0,823fa4cb-1dff-40f0-97a2-4e1a1a529d09,No,PDWA6-BP-MM-CPQ,Disabled,PagerDuty Workflow Automation (previously Catalytic) Unlimited Workflows Month-to-Month,Base Product,PagerDuty Workflow Automation (previously Catalytic) Unlimited Workflows M2M,#N/A,Fixed Price,true,1.0,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,#N/A,false,Add-on Products,false,false,false,false,false,true,false,false,false,false
0566d95b-f27a-4331-9eaf-64798738497e,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,535e5662-2ff3-4ad2-b1ed-75341d9bb251,#N/A,#N/A,#N/A,#N/A,false,#N/A,bfeb7a15-56e3-4661-8928-2fdc83f2ad25,#N/A,#N/A,25.0,dd5acd08-841f-4bf6-8d38-aec392966676,No,RBRUT-BP-XX-CPQ,Disabled,Runbook Automation SaaS - Run Only User Tiered,Base Product,Runbook Automation SaaS - Run Only User Tiered,#N/A,Fixed Price,true,#N/A,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,#N/A,false,Users,false,false,false,false,false,false,false,false,false,false
058b62f1-c920-4398-bcb9-0b5480ef6079,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,8ee7b81f-73b7-4cc9-a931-d986a0876c0e,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,0.0,20.0,10f3f097-8c8c-43dd-9ec3-fcbbad623368,No,S2SL-BP-XX-CPQ,#N/A,Stakeholder Users - Legacy Pricing,Base Product,Stakeholder - Standard Tiered,#N/A,Fixed Price,true,0.0,#N/A,false,true,#N/A,false,Related Product,#N/A,false,a8F0t0000001CqsEAE20190824080142Z20190824080142Z,#N/A,#N/A,false,false,false,#N/A,false,#N/A,false,#N/A,false,false,false,false,false,false,false,false,false,false
060bf2ca-e79b-4535-a654-0755aa801032,USD,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,535e5662-2ff3-4ad2-b1ed-75341d9bb251,#N/A,#N/A,#N/A,#N/A,false,#N/A,bfeb7a15-56e3-4661-8928-2fdc83f2ad25,#N/A,10.0,15.0,20d64519-1ab9-4bb1-851a-a0d7102650e1,No,RBFUT-BP-XX-CPQ,Disabled,Runbook Automation SaaS - Full User Tiered,Base Product,Runbook Automation SaaS - Full User Tiered,#N/A,Fixed Price,true,10.0,#N/A,false,false,#N/A,false,Related Product,#N/A,false,#N/A,#N/A,#N/A,false,false,false,#N/A,false,#N/A,false,Users,false,false,false,false,false,false,false,false,false,false
