Guid,Name,CurrencyIsoCode,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ErrorMessage__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupMessageField__c,SBQQ__LookupObject__c,SBQQ__LookupProductField__c,SBQQ__LookupRequiredField__c,SBQQ__LookupTypeField__c,SBQQ__Scope__c,SBQQ__Type__c,ProductRuleExternalID__c
011e258a-5645-43be-9aaa-ddf4737ef71e,Hide Products from PD Subscription,USD,true,#N/A,All,#N/A,Always,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
09cf455e-f09c-4659-a22c-465fe4be9f40,Minimum Expert Services on Demand,USD,false,#N/A,All,5 is the Minimum Quantity of Expert Services on Demand.,Save,100.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Alert,#N/A
0b6b79d9-08c8-48b1-83ad-c4b0acffc7eb,Restore Add-ons for No Digital Operations,USD,true,#N/A,Any,Digital Operations Removed AND Customer Service Digital Operations Removed,Edit,60.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
0cea268f-feaa-45aa-8463-b559cb6bb2a0,Restore Base Products for No Enterprise,USD,true,#N/A,Any,Enterprise Removed-> Restores Non Enterprise Base Products.,Edit,60.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
1cce16ae-7c02-4a03-8a7f-a243725f9733,Rundeck Instance and Clusters Must Have At Least One User,USD,true,#N/A,All,"Instance / clusters should have at least one user, except for Raytheon",Save,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Validation,#N/A
1cdd7d4e-6804-4846-9942-d2de15ed9361,Stakeholder User (Pack of 50) Combinations (Reversal),USD,true,#N/A,All,#N/A,Edit,50.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
1df3c7b0-4a1e-4a40-a0ac-721ca0bc989f,Cannot have professional with Customer Service SKU (DUPE),USD,false,#N/A,All,Customer Service licenses are not allowed to be purchased with the Professional base plan.,Always,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
20eac0bc-a16d-4a83-ba0d-ef839196af8c,RBA Add-On Required For Runbook Support For PD Line Of Business,USD,false,(10 OR 20) AND (30 OR 40) AND 50 AND 60,Custom,Runbook Support Requires Runbook Automation Add-On for the PagerDuty Line Of Business,Save,85.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
22170a76-48c4-4782-834a-48faa81bdf60,Cannot have QTY greater than 1,USD,true,#N/A,All,"You cannot have a QTY greater than 1 for AIOPS, Runbook PS, TAM or PD Cloud Automation. Please update your quantity to 1.",Always,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
22aaea2f-73e2-4a92-b350-14cd84349b9e,Dynamic Team stakeholder selection (for Default),USD,false,#N/A,All,#N/A,Always,20.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Selection,#N/A
24723c84-42d9-4228-bb37-22972c183b19,No Add-ons for Digital Operations,USD,true,#N/A,All,Add-on Products are not allowed with Digital Operations.  Please deselect any additional add-on products.,Edit,50.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
249e429b-1639-4a83-9625-b71323eff3c7,Cannot have professional with Customer Service SKU,USD,true,#N/A,All,Customer Service licenses are not allowed to be purchased with the Professional base plan.,Always,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
2a0820a2-9a0b-41ce-9937-02a3f02af456,"Deselect AIOps when EI,DOS, CS DOS is selected (Reversal)",USD,true,#N/A,All,#N/A,Edit,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
2b998339-fde1-4073-aecc-5c59d89419ba,No Premium Support and Remove Premium Support Checkbox False,USD,true,#N/A,All,Please check the 'Remove Premium Support' checkbox for Quotes without Premium Support,Save,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
2d3fa280-4519-4c65-8554-c57ef0e07a49,Non-AWS Partner Can't Purchase AIOPs,USD,true,#N/A,All,AIOps can't be purchased by Non-AWS Partner,Save,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
2d7c713a-3256-42ff-b425-1795e4489238,Add OTC Product To Quote,USD,false,#N/A,All,#N/A,Always,100.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Selection,#N/A
2da52a79-f301-4f3c-acb7-77967369887b,Disable Add-Ons If Primary Base Product Missing,USD,true,(10 OR 20) AND (30 OR 40),Custom,Add-Ons Hidden When Incident Response or Customer Service Base Products Missing (Training And Support Excluded),Edit,945.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
30c454a1-de02-41bd-af93-73cab3492681,No Enterprise Instance/Cluster with Platinum,USD,false,#N/A,Any,#N/A,Always,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
34e92ca5-e95f-4a09-9469-e84a9f06c1af,No Add-ons For Customer Service Base,USD,false,(7 OR 8) AND ((1 AND 2 AND 3) OR 4 OR 5 OR 6),Custom,Add-on Products are not allowed with Customer Service Base Products. Please deselect any additional add-on products. Utilizing IncludedInDigitalOperations field to remove Add-Ons. Restoration Rule had CS added to the Original DO restoration rule.,Always,60.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,Deselect PD Analytics And MIR If Not Legacy Team Or Business,USD,false,(10 OR 20) AND (30 OR 40) AND (50 OR 60),Custom,PD Analytics and Modern Incident Response can only be sold with Legacy Business or Team,Edit,120.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
53a99a3f-0664-4e99-930f-1b7eeed283fe,No Enterprise Instance/Cluster with Platinum (Reversal),USD,false,#N/A,Any,#N/A,Always,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
560ef197-710b-425b-88b5-a3cc247a50b6,Alert - PD analytics < 10% of base product,USD,true,#N/A,All,PD Analytics should be 10% of the full users on a base product.  Do you want to continue?,Save,20.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Alert,#N/A
5e2d1747-8f6e-4cde-a26b-1ce9e38064b0,Cannot have professional with Customer Service SKU (DUPE),USD,false,#N/A,All,Customer Service licenses are not allowed to be purchased with the Professional base plan.,Always,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
5f219a7a-47d7-4709-a19a-d66951e3912c,No Platinum with Enterprise Instance/Cluster,USD,true,(10 OR 20) AND 30 AND 40 AND 50,Custom,You are not allowed to mix platinum with Enterprise Instance/Cluster,Save,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
60ac932a-c3ff-40ac-b54e-e2dcf0453c47,No Platinum with Enterprise Instance/Cluster (Reversal),USD,false,#N/A,Any,#N/A,Always,51.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
63852848-27b3-47f8-9058-5e5e25d0aa91,Advisory Services Maximum,USD,true,#N/A,All,Advisory Services can only be sold for a maximum of 5 days per week.,Save,160.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
659cf0fa-3138-4d74-9a93-1b600a326f4a,PagerDuty Status Pages Maximum Quantity,USD,true,#N/A,All,PagerDuty Status Pages can only have a maximum quantity of 150.,Save,180.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
687f461d-ec98-4753-9bdb-067983d262b8,Hide Products,USD,true,#N/A,Any,#N/A,Load,10.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
68869034-43c2-48a0-94f6-2471e157d15d,Filter CS DigOps when DigOps Selected,USD,true,#N/A,All,"When Digital Operations or Digital Operations Selected, Only Customer Service Digital Operations available for Selection.  Please deselect Digital Operations for all Base Products Menu.",Always,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
69309582-2f3c-4042-bccd-9925c4a2b12a,Auto-select Pagerduty Subscription Product,USD,true,#N/A,All,#N/A,Load,10.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,a8G0t0000000AetEAE20190603221123Z20190603221122Z
715ff5e0-4749-445f-8668-5d2714c83dd7,Block Two Standalone Jeli Products,USD,true,#N/A,All,"Two Jeli Line Items are not allowed to be sold on a quote. If doing a product swap, please 'Quick Save' quote before swapping products.",Save,120.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
7a0f6759-bfc4-4e4a-b5cd-36c786f02b25,Cannot Add Legacy Products If Not Present On Subscription,USD,true,#N/A,All,Cannot Add Legacy Products If Not Present On Active Subscription,Always,100.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
7b642d91-d25a-4411-828f-d944ee018a10,Can Only Choose One Premium Status Page,USD,true,#N/A,All,Only one PagerDuty Status Page - Premium product can be selected at a time,Always,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Validation,#N/A
803c48f7-0498-431c-8f66-edea41cd3426,Can only sell TBAG with Business,USD,true,#N/A,All,Time Based Alert Grouping can only be sold with Business,Save,52.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,Validation,#N/A
82cc1fe0-983d-462f-9176-be32ca42a569,"Deselect AIOps when EI,DOS, CS DOS is selected",USD,true,10 OR 20,Custom,"EI, CS DigOps & DigOps can't be sold with AIOPs",Edit,70.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
8693f151-f8d8-4a4d-aa7c-37b3cec5e90d,Restore Rundeck Actions Add On Upon Removal Of Professional Base Product,USD,true,#N/A,Any,Rundeck Actions licenses Enabled.,Always,61.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product,Selection,#N/A
