Guid,CurrencyIsoCode,sbaa__ApprovalRule__c,sbaa__EnableSmartApproval__c,sbaa__FilterField__c,sbaa__FilterType__c,sbaa__FilterValue__c,sbaa__FilterVariable__c,sbaa__Index__c,sbaa__Operator__c,sbaa__TestedField__c,sbaa__TestedVariable__c,ApprovalConditionExternalID__c
01849116-7773-4431-8d33-120a406df981,USD,fbff4c02-3494-4ccc-ac6e-43ab79ec31e1,false,#N/A,Value,0,#N/A,2.0,greater than,#N/A,19c4df1c-3bd6-43bf-af6f-390af9abd6bb,#N/A
07f6a72e-64f6-494b-a1a1-f4bcf0c782be,USD,57dfdd76-823a-4207-b648-c46025a7541c,true,#N/A,Value,100000,#N/A,10.0,greater than,ARR__c,#N/A,#N/A
087c5466-a9aa-4030-bf0d-2f3971511c98,USD,510015b2-ebf0-410c-a78a-d0e1779270f1,true,#N/A,Value,0,#N/A,1.0,less than,One_Time_Credit__c,#N/A,#N/A
0a2ba5b8-0942-49d3-a32e-56cc6aa12d90,USD,6909306f-c4b6-4da9-a962-cc055208acfc,true,#N/A,Value,TRUE,#N/A,1.0,equals,ContractExtension__c,#N/A,#N/A
0ad85c70-4a08-4f45-bbb5-2b5e99105f69,USD,138e052a-c6c2-46ae-bc9f-c4cb20cfaced,true,#N/A,Value,0,#N/A,50.0,equals,SupportProductOFNetTotal__c,#N/A,#N/A
0d5d4d6c-38aa-44f7-ad23-0fa9da2a9cd7,USD,d7709e5e-bc28-4e80-a963-9c11cf38bb01,true,#N/A,Value,#N/A,#N/A,6.0,not equals,FinanceApproverId__c,#N/A,#N/A
0fc68096-5acd-4c4f-86b3-d3c50871c502,USD,bf7f6a26-a241-4673-8000-143eae30fbec,true,#N/A,Value,30,#N/A,1.0,greater or equals,MaximumDiscountApprovalLevel__c,#N/A,#N/A
0fc77fe4-dbef-4ee2-ae1e-e118d339d533,USD,ef198e62-36ee-47dc-9a4c-dee47f70c936,true,#N/A,Value,FALSE,#N/A,5.0,equals,ContractExtension__c,#N/A,#N/A
116cd837-d26b-4dfa-86e8-5639c4df74b5,USD,a7eb957a-8309-4361-8ee7-ebfda0328db6,true,#N/A,Value,#N/A,#N/A,20.0,not equals,NumberOfJeliLineItems__c,#N/A,#N/A
11758d8d-a868-4075-85dc-b423c83ceb41,USD,d7709e5e-bc28-4e80-a963-9c11cf38bb01,true,#N/A,Value,Amendment,#N/A,2.0,not equals,SBQQ__Type__c,#N/A,#N/A
129731e5-57bd-4211-8626-2e7018795705,USD,832a6d77-d23f-4347-ab5a-a3803a3bfad7,true,#N/A,Value,FALSE,#N/A,3.0,equals,fml_CustomerContractPaymentTermsAA__c,#N/A,#N/A
1355c5d3-d132-4c10-bd2c-aa14ced585a7,USD,28a6cbad-24aa-493f-a55e-f4b49305305d,true,#N/A,Value,150000,#N/A,20.0,less than,ARR__c,#N/A,#N/A
13c7d54b-1a1d-40e8-a3b9-eaa9bd793265,USD,1705df55-ebcf-40c4-a146-1f876e6ed595,true,#N/A,Value,EMEA,#N/A,6.0,equals,Billing_Sub_Region__c,#N/A,#N/A
1405ad12-1a1e-48c0-9397-c0ea2a4516d6,USD,7b1c7b6f-122c-4ca3-98b2-1be022ffcdf2,true,#N/A,Value,0,#N/A,1.0,greater than,NumberofExpertServicesProducts__c,#N/A,#N/A
1aaa9799-e919-42e3-a3e4-a983d255dbf6,USD,a7eb957a-8309-4361-8ee7-ebfda0328db6,true,#N/A,Value,0,#N/A,10.0,greater than,NumberOfJeliLineItems__c,#N/A,#N/A
1c67a851-c7d4-4269-bfe8-31424c0e9022,USD,ef198e62-36ee-47dc-9a4c-dee47f70c936,true,#N/A,Value,EMEA,#N/A,7.0,equals,Billing_Sub_Region__c,#N/A,#N/A
1c8d5f3a-79ea-4ed0-b9f5-f9920bd4b0fa,USD,d72deb43-7f7a-44de-8cb9-1153ed35ef2b,true,#N/A,Value,FALSE,#N/A,1.0,equals,AutoRenew__c,#N/A,#N/A
1ce5d950-6d6e-402b-ad87-01d03b37bc3d,USD,138e052a-c6c2-46ae-bc9f-c4cb20cfaced,true,#N/A,Value,0,#N/A,30.0,not equals,QuantityOfEnterpriseIncMgmtRollup__c,#N/A,#N/A
1de84615-1028-43fc-9cf9-e35e9581f56c,USD,0b11c589-d51b-4704-80bc-1972fa027c2d,true,#N/A,Value,Quarterly,#N/A,2.0,equals,Billing_Frequency2__c,#N/A,#N/A
205baaa0-9271-4746-89e9-9e7e744d0f5b,USD,84e594df-980d-47d5-9817-af2e7d4ffa91,true,#N/A,Value,150000,#N/A,20.0,less than,ARR__c,#N/A,#N/A
22227840-b179-41a1-925b-a70257503b90,USD,ef198e62-36ee-47dc-9a4c-dee47f70c936,true,#N/A,Value,Amendment,#N/A,3.0,equals,SBQQ__Type__c,#N/A,#N/A
22cecab8-7f61-4286-a964-895a115099cb,USD,132c4bb3-d897-468e-9db0-7e4cc848a302,true,#N/A,Value,FALSE,#N/A,3.0,equals,AutoRenew__c,#N/A,#N/A
26b9ded4-461c-45e5-9866-4e0c8d314281,USD,fa00d871-e67e-429f-bf48-d9857576a452,true,Approved_One_Time_Credit__c,Field,#N/A,#N/A,2.0,less or equals,One_Time_Credit__c,#N/A,#N/A
2a982d90-608a-4d91-9cb4-ec610de84b0a,USD,d7709e5e-bc28-4e80-a963-9c11cf38bb01,true,#N/A,Value,TRUE,#N/A,4.0,equals,EarlyRenewal__c,#N/A,#N/A
2b5aaa9a-ad1b-465a-9baa-45cee42eadbb,USD,84e594df-980d-47d5-9817-af2e7d4ffa91,true,#N/A,Value,TRUE,#N/A,40.0,equals,ScheduledRenewal__c,#N/A,#N/A
2dbf1425-93e8-4d13-950f-2f2b45f6a4f1,USD,19ddea58-5fa0-4b3e-aa8c-c97e72db38e6,true,#N/A,Value,0,#N/A,#N/A,greater than,Count_of_Removed_MSA_Quote_Terms__c,#N/A,#N/A
2e848311-3728-46e7-9e8a-1c454f9291b6,USD,7924758b-2c36-4bde-988a-31730bedfb00,true,#N/A,Value,TRUE,#N/A,2.0,equals,RemovePremiumSupport__c,#N/A,#N/A
331ec58e-6b92-415a-985f-fc1e28d10a09,USD,d72deb43-7f7a-44de-8cb9-1153ed35ef2b,true,#N/A,Value,Monthly,#N/A,2.0,not equals,SBQQ__BillingFrequency__c,#N/A,#N/A
33b1ae1d-3d58-4545-9e22-fd8972279ffe,USD,0e23446a-375a-431d-83d1-4a1c3e015418,true,#N/A,Value,50000,#N/A,3.0,greater than,fml_Positive_Term_Credit__c,#N/A,#N/A
34a6b1a6-62af-48d3-be5d-f2036905beba,USD,57dfdd76-823a-4207-b648-c46025a7541c,true,#N/A,Value,0,#N/A,30.0,greater or equals,fml_DaysUntilMasterContractEndDate__c,#N/A,#N/A
363878b8-6a62-43aa-9409-1427ee004039,USD,1705df55-ebcf-40c4-a146-1f876e6ed595,true,#N/A,Value,30,#N/A,2.0,greater than,PaymentTerminNumbers__c,#N/A,#N/A
3d27c094-99f6-4e48-9cab-444588f3e5aa,USD,1705df55-ebcf-40c4-a146-1f876e6ed595,true,#N/A,Value,AWS,#N/A,4.0,not equals,OpportunityPartnerTransactionType__c,#N/A,#N/A
414ebfc1-219f-49ec-ba59-5c993e37c5e0,USD,132c4bb3-d897-468e-9db0-7e4cc848a302,true,#N/A,Value,FALSE,#N/A,50.0,equals,fml_Is_Partner_Opportunity__c,#N/A,#N/A
455e4135-1170-4ed7-b91d-e09a23974dbb,USD,0e23446a-375a-431d-83d1-4a1c3e015418,true,Approved_One_Time_Credit__c,Field,#N/A,#N/A,2.0,less or equals,One_Time_Credit__c,#N/A,#N/A
48935347-b7dd-4ec5-8d49-fc5658db3eb2,USD,d100e1a9-9f68-4039-bada-45b72bc15a79,true,#N/A,Value,-25000,#N/A,10.0,less than,OpportunityARRUpsell__c,#N/A,#N/A
4b9bd547-9c7f-4862-9a02-ba48d44a6225,USD,733ddc75-0a51-4a83-8940-94f914b8940a,true,#N/A,Value,FALSE,#N/A,3.0,equals,ApprovedBillingFrequency__c,#N/A,#N/A
4bc92d26-df2a-42d8-ade1-f4cdb1a50d43,USD,64f57d0c-ed15-4727-8dd0-4d03ebb93e69,true,#N/A,Value,20,#N/A,1.0,equals,PremiumSuccessBundleApprovalLevel__c,#N/A,#N/A
4bde1cdb-7db0-4dcc-b6b4-a0621a4ba0a8,USD,1705df55-ebcf-40c4-a146-1f876e6ed595,true,#N/A,Value,FALSE,#N/A,3.0,equals,fml_CustomerContractPaymentTermsAA__c,#N/A,#N/A
4ca1af15-bf7e-4293-b0ef-6a759e1ec67a,USD,131d490b-484a-4147-be03-52ec66cb9f7b,true,#N/A,Value,FALSE,#N/A,5.0,equals,ContractExtension__c,#N/A,#N/A
4cb72666-780e-4ae9-868f-adf2e7b5cb3c,USD,8e71cc50-6494-402a-81b2-091c0d0c709f,true,#N/A,Value,10,#N/A,1.0,greater than,PDUDiscount__c,#N/A,#N/A
4f6985b5-b284-4baa-85c5-422adce7af2e,USD,d61dcfbf-8e85-4e61-aa7e-48c94e136d5a,true,Approved_One_Time_Credit__c,Field,#N/A,#N/A,#N/A,less or equals,One_Time_Credit__c,#N/A,#N/A
5415bdff-3fa9-4be5-9448-9595b0ce879e,USD,1acb695b-a7e1-4d83-aa61-389f8b18723a,true,#N/A,Value,0,#N/A,10.0,greater than,PDUDiscount__c,#N/A,#N/A
5487b309-a109-49f9-9340-94fc59ad1d3c,USD,138e052a-c6c2-46ae-bc9f-c4cb20cfaced,true,#N/A,Value,0,#N/A,40.0,greater than,Quantity_Net_New_Tier1_Product__c,#N/A,#N/A
54a5b9c7-2751-4aba-a9a9-1befd3a1bf72,USD,5a4f4ab9-6e25-4616-8b84-412b7f45e8a0,true,#N/A,Value,0,#N/A,1.0,greater than,PDAnalyticsQuantity__c,#N/A,#N/A
59669c39-9152-48cb-907c-7c9fcb490096,USD,718a1a68-8526-4e04-9bc1-d6ad36c46dd9,true,#N/A,Value,TRUE,#N/A,40.0,equals,ScheduledRenewal__c,#N/A,#N/A
5cbf56f5-0c55-4c47-a20e-e8d775e4cba7,USD,0e23446a-375a-431d-83d1-4a1c3e015418,true,#N/A,Value,0,#N/A,1.0,less than,One_Time_Credit__c,#N/A,#N/A
5f0e686c-036b-4d51-a8bf-17370b51ee4b,USD,ef198e62-36ee-47dc-9a4c-dee47f70c936,true,#N/A,Value,#N/A,#N/A,6.0,equals,FinanceApproverId__c,#N/A,#N/A
602ebd14-48c4-47e9-a418-1f58dd91a073,USD,0b11c589-d51b-4704-80bc-1972fa027c2d,true,#N/A,Value,FALSE,#N/A,3.0,equals,ApprovedBillingFrequency__c,#N/A,#N/A
61113e4f-4c66-4000-9aa4-8788c6b54474,USD,1705df55-ebcf-40c4-a146-1f876e6ed595,true,#N/A,Value,TRUE,#N/A,7.0,equals,fml_IsPartnerToDirect__c,#N/A,#N/A
61221136-b447-4b1b-bf16-83d04eda9ff1,USD,28a6cbad-24aa-493f-a55e-f4b49305305d,true,#N/A,Value,TRUE,#N/A,30.0,equals,EarlyRenewal__c,#N/A,#N/A
613bd2f1-a0db-4716-a8c4-33e0cd37f5f3,USD,131d490b-484a-4147-be03-52ec66cb9f7b,true,#N/A,Value,Amendment,#N/A,3.0,equals,SBQQ__Type__c,#N/A,#N/A
613fcb19-3643-469b-850e-2afb0f34b963,USD,86121402-aca5-44fa-ac0c-58a03f943cb3,true,#N/A,Value,0,#N/A,1.0,greater than,DiscountApprovalLevelRollup__c,#N/A,#N/A
61543ccb-f455-47f9-adb6-c8413dabdcae,USD,de395a3e-d596-4123-9660-a1ec865c8f14,true,#N/A,Value,PagerDuty,#N/A,2.0,equals,LineOfBusiness__c,#N/A,#N/A
61b6f1bd-96ae-4539-b21f-d21c33289f0b,USD,19ddea58-5fa0-4b3e-aa8c-c97e72db38e6,true,#N/A,Value,0,#N/A,#N/A,greater than,Number_of_Terms_Modified__c,#N/A,#N/A
63799c2a-83f4-4ea9-b3d2-f1877e89a521,USD,5a4f4ab9-6e25-4616-8b84-412b7f45e8a0,true,X10ofBaseProducts__c,Field,#N/A,#N/A,2.0,less than,PDAnalyticsQuantity__c,#N/A,#N/A
63d518b2-077f-4e03-b30f-7b706bab3261,USD,de395a3e-d596-4123-9660-a1ec865c8f14,true,#N/A,Value,0,#N/A,1.0,greater than,ExpertServicesDiscount__c,#N/A,#N/A
6502adec-0fad-41cf-85b7-1a374b747ce3,USD,718a1a68-8526-4e04-9bc1-d6ad36c46dd9,true,#N/A,Value,150000,#N/A,20.0,less than,ARR__c,#N/A,#N/A
6557bee9-aa29-4c68-bb62-e0a712a08e0d,USD,733ddc75-0a51-4a83-8940-94f914b8940a,true,#N/A,Value,EMEA,#N/A,5.0,not equals,Billing_Sub_Region__c,#N/A,#N/A
65932729-dd3a-4c3c-9142-b9af12123546,USD,138e052a-c6c2-46ae-bc9f-c4cb20cfaced,true,#N/A,Value,0,#N/A,20.0,equals,SilverGoldBundleZuoraSubTotal__c,#N/A,#N/A
665c9d98-b808-427c-bb7a-f907faf05d7f,USD,04c3d108-9da8-4ba6-863d-64ea5cc1fb6c,true,#N/A,Value,0,#N/A,2.0,greater than,X100DiscountRequiresApprovalRollup__c,#N/A,#N/A
681446cb-8399-4063-8a03-52d5a7a515bb,USD,5ce0b9ac-4ba7-4fda-b94f-acf027a558ea,true,#N/A,Value,TRUE,#N/A,40.0,equals,ScheduledRenewal__c,#N/A,#N/A
