Guid,Name,CurrencyIsoCode,sbaa__Active__c,sbaa__AdvancedCondition__c,sbaa__ApprovalChain__c,sbaa__ApprovalRecipients__c,sbaa__ApprovalStep__c,sbaa__ApprovalTemplate__c,sbaa__ApproverField__c,sbaa__Approver__c,sbaa__ConditionsMet__c,sbaa__EffectiveDateField__c,sbaa__EffectiveEndDate__c,sbaa__EffectiveStartDate__c,sbaa__ExcludedStatuses__c,sbaa__OverrideField__c,sbaa__Parallel__c,sbaa__RecallTemplate__c,sbaa__RejectionRecipients__c,sbaa__RejectionTemplate__c,sbaa__RequestTemplate__c,sbaa__RequireExplicitApproval__c,sbaa__SmartApprovalIgnoresConditionsMet__c,sbaa__TargetObject__c,ApprovalRuleExternalID__c,Description__c
04c3d108-9da8-4ba6-863d-64ea5cc1fb6c,100% Discount,USD,true,#N/A,64c61457-8e53-4cc0-89aa-b741073bc12c,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,51dd363e-2f9e-4375-97dd-96d134c091fd,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
0b11c589-d51b-4704-80bc-1972fa027c2d,Quarterly Or Semiannual Billing Frequency EMEA Finance Approval Group,USD,true,(1 OR 2) AND 3 AND 4 AND 5,f028a346-d4f8-4171-87d0-162ca7647a30,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,112930b3-e5eb-4804-8fbe-8c1d6ba64d36,Custom,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
0d2132eb-5fa3-4c28-aceb-6d485930c549,Manual Order Form / Phased Growth,USD,true,#N/A,64c61457-8e53-4cc0-89aa-b741073bc12c,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,51dd363e-2f9e-4375-97dd-96d134c091fd,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
0e23446a-375a-431d-83d1-4a1c3e015418,One Time Credit Approval (>50k),USD,true,#N/A,7587ab3f-136d-4241-9505-373bb0e00958,Record Owner,1.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,51dd363e-2f9e-4375-97dd-96d134c091fd,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
1006313f-5052-4cc6-9965-3358f7a402ba,Tier 2 Discount CEO,USD,true,#N/A,e296eb2b-a1f3-4893-bbcd-e093389b6ee9,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,44842203-d6cd-4f43-83b9-c6d3303163e5,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
131d490b-484a-4147-be03-52ec66cb9f7b,Less Than 6 Month Subscription Term Finance Approval Group,USD,true,((1 AND 2) OR (1 AND 3 AND 4)) AND 5 AND 6 AND 7,defb4c9b-a5be-4f1d-b77c-821a7fcc29df,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,f2051226-800b-4cff-8e65-3458e18abf7e,Custom,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
132c4bb3-d897-468e-9db0-7e4cc848a302,Auto Renew Opt Out,USD,true,#N/A,54c49773-a8fc-4c37-bd2a-80b8747db9c9,Record Owner,1.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,VP_Id__c,#N/A,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
138e052a-c6c2-46ae-bc9f-c4cb20cfaced,Premium Support Missing For Enterprise Incident Management,USD,true,20 AND 50 AND ( ( 10 AND 30 ) OR 40),06662062-bff6-4cce-b71a-13f1c8714783,Record Owner,1.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,e3f7a23d-85fe-4011-9016-511737bb8433,Custom,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
1705df55-ebcf-40c4-a146-1f876e6ed595,Greater than N30 Payment Terms EMEA Finance Approval Group,USD,true,(1 OR 7) AND 2 AND 3 AND 4 AND 5 AND 6,b296d3cb-8a38-43b6-881b-869190add172,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,112930b3-e5eb-4804-8fbe-8c1d6ba64d36,Custom,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
181702dd-563b-49a4-8cee-ffc8c3705c85,Tier 2 Discount CRO,USD,true,#N/A,e296eb2b-a1f3-4893-bbcd-e093389b6ee9,Record Owner,2.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,#N/A,9b8df8b7-f2ce-4452-9bc8-d9e03bea8cc2,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
196215c8-d603-4002-ba6c-ddac1b2af846,Tier 1 VP Sales,USD,true,#N/A,e296eb2b-a1f3-4893-bbcd-e093389b6ee9,Record Owner,1.0,07fccae1-5845-4a1b-b753-e79a80c09c6f,SeniorVPApprover__c,#N/A,All,#N/A,#N/A,#N/A,#N/A,#N/A,false,8c52f228-3585-43be-96b7-3ea1e167eba7,Record Owner,4bd1a7e9-3688-44bb-a135-6d3252e1895b,40b53127-f878-4203-91b9-de67e7633e7d,false,false,SBQQ__Quote__c,#N/A,#N/A
